producto,precioUnitario,talla,cantidad,vendedor,fecha,total
Vestido asimétrico fruncido,170000.0,medio,3.0,Roger Mora,2026-01-07 00:00:00,510000
Vestido corto evasé,120000.0,S,3.0,Alexander Ramirez,25/01/2026,360000
Vestido punto cuello perkins,,XL,3.0,Laura Mora,2026-01-23 00:00:00,330000
Mono largo asimétrico drapeado,289000.0,XXXL,,Jessica Mora,2026-02-09 00:00:00,289000
Mono largo combinado,150000.0,S,4.0,Roger Mora,14/01/2026,600000
Mono largo cuello drapeado cinturón,210000.0,XXL,1.0,JOHANA FERRARO,2026-01-22 00:00:00,210000
Mono largo asimétrico drapeado ,289000.0,XL,3.0,Juan Jose Rios,2026-02-04 00:00:00,867000
Vestido corto evasé,120000.0,medio,2.0,Laura Mora,2026-02-03 00:00:00,240000
Vestido asimétrico fruncido ,170000.0,M,3.0,Johana Ferraro,2026-02-25 00:00:00,510000
Vestido maxi volante,199000.0,medio,5.0,Roger Mora,2026-01-11 00:00:00,995000
Vestido asimétrico fruncido,170000.0,S,-1.0,Johana Ferraro,2026-02-12 00:00:00,680000
Vestido punto cuello perkins,110000.0,L,3.0,Alexander Ramirez,11/02/2026,330000
Mono largo cuello drapeado cinturón,210000.0,XXXL,5.0,David Mira,2026-02-09 00:00:00,34711
Mono raya diplomática combinado,350000.0,L,4.0,Johana Ferraro,27/02/2026,1400000
Vestido corto evasé,120000.0,medio,4.0,David Mira,2026-01-05 00:00:00,480000
Vestido maxi volante,199000.0,M,3.0,JESSICA MORA,2026-02-21 00:00:00,597000
mono largo combinado,150000.0,M,2.0,Juan Jose Rios,2026-02-04 00:00:00,300000
vestido punto cuello perkins,110000.0,M,1.0,Laura Mora,2026-01-11 00:00:00,110000
mono palabra de honor estampado,250000.0,S,3.0,David Mira,2026-01-26 00:00:00,750000
Mono raya diplomática combinado,350000.0,L,1.0,Jessica Mora,2026-02-06 00:00:00,350000
Vestido asimétrico fruncido,,M,5.0,David Mira,2026-02-25 00:00:00,850000
vestido punto cuello perkins,110000.0,XS,1.0,Jessica Mora,2026-01-04 00:00:00,110000
Mono palabra de honor estampado,250000.0,L,4.0,LAURA MORA,2026-01-03 00:00:00,1000000
Mono palabra de honor estampado,250000.0,XXL,3.0,Alexander Ramirez,2026-02-26 00:00:00,750000
Vestido asimétrico fruncido,170000.0,XL,4.0,Laura Mora,2026-02-08 00:00:00,33597
Vestido cuello barco fruncidos,185000.0,medio,1.0,Johana Ferraro,2026-01-13 00:00:00,185000
Mono palabra de honor estampado,250000.0,XXXL,5.0,Jessica Mora,01/02/2026,1250000
Vestido asimétrico fruncido,170000.0,M,4.0,Johana Ferraro,2026-01-05 00:00:00,680000
Vestido asimétrico fruncido ,170000.0,M,1.0,Alexander Ramirez,2026-01-15 00:00:00,170000
Mono raya diplomática combinado,350000.0,L,4.0,Juan Jose Rios,2026-01-30 00:00:00,1400000
Vestido punto cuello perkins ,110000.0,XXXL,3.0,Jessica Mora,2026-01-19 00:00:00,330000
vestido punto cuello perkins,110000.0,L,4.0,Roger Mora,2026-01-04 00:00:00,440000
Vestido punto cuello perkins,110000.0,XXXL,3.0,ALEXANDER RAMIREZ,2026-01-24 00:00:00,330000
Mono largo asimétrico drapeado ,289000.0,M,3.0,Laura Mora,2026-01-19 00:00:00,867000
mono palabra de honor estampado,250000.0,XXXL,1.0,Alexander Ramirez,2026-02-07 00:00:00,250000
Mono largo asimétrico drapeado,289000.0,medio,2.0,Roger Mora,2026-02-20 00:00:00,578000
Vestido asimétrico fruncido,170000.0,M,1.0,JOHANA FERRARO,2026-01-26 00:00:00,170000
Vestido punto cuello perkins,,XS,2.0,Alexander Ramirez,2026-02-15 00:00:00,220000
Vestido punto cuello perkins,110000.0,XL,3.0,Alexander Ramirez,15/01/2026,330000
Mono raya diplomática combinado,350000.0,XXL,3.0,JOHANA FERRARO,2026-01-15 00:00:00,1050000
Vestido punto cuello perkins,110000.0,XL,,Alexander Ramirez,2026-02-06 00:00:00,110000
Vestido asimétrico fruncido,170000.0,L,-1.0,Roger Mora,2026-03-01 00:00:00,510000
Mono largo combinado,150000.0,M,5.0,ALEXANDER RAMIREZ,2026-01-16 00:00:00,750000
Mono largo asimétrico drapeado ,289000.0,XS,2.0,Johana Ferraro,2026-02-07 00:00:00,578000
Vestido cuello barco fruncidos,185000.0,S,1.0,ROGER MORA,2026-02-05 00:00:00,185000
Mono largo combinado ,150000.0,M,1.0,Roger Mora,2026-02-01 00:00:00,150000
Vestido maxi volante ,199000.0,XXXL,5.0,Laura Mora,2026-01-22 00:00:00,995000
vestido punto cuello perkins,110000.0,XS,5.0,Jessica Mora,2026-02-04 00:00:00,550000
Vestido cuello barco fruncidos,185000.0,L,4.0,Roger Mora,2026-02-20 00:00:00,351052
Vestido asimétrico fruncido,170000.0,XXXL,5.0,JUAN JOSE RIOS,2026-01-24 00:00:00,850000
Mono raya diplomática combinado,350000.0,M,4.0,JOHANA FERRARO,2026-02-18 00:00:00,1400000
Vestido punto cuello perkins,,M,2.0,Jessica Mora,2026-02-14 00:00:00,220000
Vestido asimétrico fruncido,170000.0,XL,2.0,Jessica Mora,2026-02-02 00:00:00,258273
Mono largo combinado ,150000.0,XL,4.0,Johana Ferraro,2026-01-09 00:00:00,600000
Vestido asimétrico fruncido,170000.0,L,3.0,JUAN JOSE RIOS,2026-02-12 00:00:00,510000
Vestido corto evasé,120000.0,XXXL,5.0,Laura Mora,2026-01-26 00:00:00,477701
Vestido maxi volante,199000.0,M,5.0,Juan Jose Rios,26/01/2026,995000
Vestido punto cuello perkins,110000.0,L,-1.0,David Mira,2026-01-11 00:00:00,550000
Vestido punto cuello perkins ,110000.0,L,2.0,Johana Ferraro,2026-02-02 00:00:00,220000
mono raya diplomática combinado,350000.0,S,3.0,David Mira,2026-02-11 00:00:00,1050000
vestido cuello barco fruncidos,185000.0,XL,2.0,Jessica Mora,2026-02-05 00:00:00,370000
Mono largo asimétrico drapeado,289000.0,medio,1.0,Johana Ferraro,2026-01-27 00:00:00,289000
Vestido punto cuello perkins,110000.0,XXL,5.0,Jessica Mora,21/02/2026,550000
Vestido maxi volante,199000.0,XL,4.0,Laura Mora,2026-01-06 00:00:00,280396
Vestido corto evasé,120000.0,L,5.0,Roger Mora,26/02/2026,600000
Vestido corto evasé,120000.0,L,3.0,Jessica Mora,06/02/2026,360000
Vestido asimétrico fruncido,170000.0,XS,1.0,JOHANA FERRARO,2026-02-05 00:00:00,170000
Mono largo combinado,150000.0,M,1.0,Roger Mora,31/01/2026,150000
Mono largo asimétrico drapeado,289000.0,medio,5.0,Johana Ferraro,2026-02-11 00:00:00,1445000
Vestido asimétrico fruncido,170000.0,XS,0.0,Juan Jose Rios,2026-01-23 00:00:00,680000
