producto,precioUnitario,talla,cantidad,vendedor,fecha,total
Vestido Punto Cuello Perkins,110000,XXXL,3,Jessica Mora,2026-01-19,330000
Vestido Punto Cuello Perkins,110000,L,4,Roger Mora,2026-01-04,440000
Vestido Punto Cuello Perkins,110000,XXXL,3,Alexander Ramirez,2026-01-24,330000
Mono Largo Asimétrico Drapeado,289000,M,3,Laura Mora,2026-01-19,867000
Mono Palabra De Honor Estampado,250000,XXXL,1,Alexander Ramirez,2026-02-07,250000
Mono Largo Asimétrico Drapeado,289000,M,2,Roger Mora,2026-02-20,578000
Vestido Asimétrico Fruncido,170000,M,1,Johana Ferraro,2026-01-26,170000
Vestido Punto Cuello Perkins,110000,XL,3,Alexander Ramirez,2026-01-15,330000
Mono Raya Diplomática Combinado,350000,XXL,3,Johana Ferraro,2026-01-15,1050000
Vestido Punto Cuello Perkins,110000,XL,1,Alexander Ramirez,2026-02-06,110000
Vestido Asimétrico Fruncido,170000,L,1,Roger Mora,2026-03-01,170000
Mono Largo Combinado,150000,M,5,Alexander Ramirez,2026-01-16,750000
Mono Largo Asimétrico Drapeado,289000,XS,2,Johana Ferraro,2026-02-07,578000
Vestido Cuello Barco Fruncidos,185000,S,1,Roger Mora,2026-02-05,185000
Mono Largo Combinado,150000,M,1,Roger Mora,2026-02-01,150000
Vestido Maxi Volante,199000,XXXL,5,Laura Mora,2026-01-22,995000
Vestido Punto Cuello Perkins,110000,XS,5,Jessica Mora,2026-02-04,550000
Vestido Cuello Barco Fruncidos,185000,L,4,Roger Mora,2026-02-20,740000
Vestido Asimétrico Fruncido,170000,XXXL,5,Juan Jose Rios,2026-01-24,850000
Mono Raya Diplomática Combinado,350000,M,4,Johana Ferraro,2026-02-18,1400000
Vestido Asimétrico Fruncido,170000,XL,2,Jessica Mora,2026-02-02,340000
Mono Largo Combinado,150000,XL,4,Johana Ferraro,2026-01-09,600000
Vestido Asimétrico Fruncido,170000,L,3,Juan Jose Rios,2026-02-12,510000
Vestido Corto Evasé,120000,XXXL,5,Laura Mora,2026-01-26,600000
Vestido Maxi Volante,199000,M,5,Juan Jose Rios,2026-01-26,995000
Vestido Punto Cuello Perkins,110000,L,1,David Mira,2026-01-11,110000
Vestido Punto Cuello Perkins,110000,L,2,Johana Ferraro,2026-02-02,220000
Mono Raya Diplomática Combinado,350000,S,3,David Mira,2026-02-11,1050000
Vestido Cuello Barco Fruncidos,185000,XL,2,Jessica Mora,2026-02-05,370000
Mono Largo Asimétrico Drapeado,289000,M,1,Johana Ferraro,2026-01-27,289000
Vestido Punto Cuello Perkins,110000,XXL,5,Jessica Mora,2026-02-21,550000
Vestido Maxi Volante,199000,XL,4,Laura Mora,2026-01-06,796000
Vestido Corto Evasé,120000,L,5,Roger Mora,2026-02-26,600000
Vestido Corto Evasé,120000,L,3,Jessica Mora,2026-02-06,360000
Vestido Asimétrico Fruncido,170000,XS,1,Johana Ferraro,2026-02-05,170000
Mono Largo Combinado,150000,M,1,Roger Mora,2026-01-31,150000
